id;name;delegation_id
248;‫‪El‬‬ ‫‪Menchia‬‬;58
249;Ksibet El Mediouni;191
250;Khzema;114
251;Oued Blibene;112
252;Mohamed El Karoui;112
253;Hached;112
254;Sahloul;112
255;Bouhsina;112
256;Hedi Chaker;112
257;Taieb Mhiri;111
258;Ibn Khaldoun;111
259;Ali Belhaouen;114
260;Mohamed Maarouf;114
261;Sidi Abdlahmid;111
262;Ksibet Ech Chott;111
263;Sidi Ameur;180
264;Masjed Aïssa;180
265;Elabadla;57
266;Douz Est;57
267;El Aouina Sud;57
268;El Aouina Nord;57
269;Ouerdanine Sud;183
270;Ouerdanine Nord;183
271;Sidi Bou Othman;183
272;Menzel Khair;183
273;Oued El Jebs;183
274;Nouil Nord;56
275;Nouil Sud;56
276;El Adhara;56
277;Ghlissia;56
278;Douz Ouest;56
279;Ouled Mhamed;132
280;El Jarabaa;132
281;Zearna Est;132
282;Balaoum;132
283;El Masdour;184
284;Menzel Harb;184
285;El Golaa;57
286;Sidi Bou Ali;131
287;Essed Sud;131
288;Ech Chouicha;131
289;El Manara;184
290;Bembla Ouest;184
291;Bembla;184
292;Essed Ouest;132
293;Menzel Ennour;184
294;Zaouiet Sousse;134
295;Oued Leya;135
296;Ennagr;135
297;El Kalaa Essghira Hached;135
298;El Kalaa Essghira Ville;135
299;El Kalaa Essghira Est;135
300;Zearna Ouest;132
301;Limagues Estiffimia;60
302;Saïdane;60
303;Mograne;217
304;Bir Halima;217
305;Oued Ezzit;217
306;Oued Erremel;217
307;El Aitha;217
308;Jimla;217
309;Zaghouan Nord;217
310;Zaghouan Ville;217
311;Zaghouan Sud;217
312;Benen Nord;191
313;Benen Sud;191
314;Bodher;191
315;Bou Hjar;188
316;Lamta;188
317;Kebili Sud;59
318;Kébeli nord;60
319;El Mansoura;60
320;Telmine;60
321;Janoura;59
322;Errabta;60
323;Tenbib;60
324;Tonbar;60
325;Bazma;59
326;Kebili Est;60
327;Sayada Est;188
328;Sayada Ouest;188
329;Ksar Hellal;190
330;Cité Erriadh;190
331;Soua;190
332;Ksar Hellal;190
333;‫‪Aïthet‬‬ ‫‪Chelaia‬‬;8
334;Chaffar;8
335;El Fahs;214
336;Banlieue D'El Fahs;214
337;Oued El Khadhra;214
338;Bent Saidane;214
339;Jougar;214
340;El Ghrifet;214
341;Mahrés;8
342;Sidi Ghrib;8
343;Es-Smara;8
344;Mahrés Sud;8
345;Jbel Oust;216
346;Ain Asker;216
347;Ain Essafsaf;216
348;El Châal;2
349;El Ghraiba;2
350;El Hchichina Nord;2
351;El Manar;2
352;Noureddine;136
353;El Knaies;136
354;Habib Thameur;136
355;Ettouara Sud;136
356;Jedidine;136
357;Ennour;136
358;Ettouara Nord;136
359;Kebiline;136
360;Mnaema;136
361;Enjara;136
362;Beni Khaltoum;136
363;Beni Rabiaa;136
364;Borgine;136
365;El Fradi;136
366;‫‪El‬‬ ‫‪Hchichina‬‬ ‫‪Sud‬‬;2
367;Moknine Nord;181
368;Moknine Est;181
369;Moknine Ouest;181
370;Moknine Sud;181
371;Khérédine;181
372;Ras El Ouad;181
373;El Hammada;61
374;Sidi Mohamed;61
375;Skhira;61
376;Naoual;61
377;Sbih;61
378;El Kenitra;61
379;El Khadhra;61
380;Sokrine;189
381;El Aïaïcha;189
382;El Fadhline;189
383;Bou-driss;189
384;Houmet Essouk;189
385;El Baghdadi;179
386;Beklta Sud;179
387;Bekalta Est;179
388;Bekalta Nord;179
389;Sidi Bennour;181
390;Smenja;216
391;Bir M’chergua Gare;216
392;Daleil El Arous;216
393;Bir M'chergua;216
394;Boucha;216
395;Touza;191
396;Zaouiet Kontoch;186
397;Blalma;127
398;El Messaadine;136
399;Ksibet Sousse;134
400;Thrayet;134
401;Ezzriba Hammam Sud;213
402;Ain El Batria;213
403;El Jouf Est;213
404;El Jouf Ouest;213
405;Jeradou;213
406;Bou Achir;213
407;El Ahd El Jadid;113
408;Erriadh;113
409;Ezzriba Hammam Nord;213
410;Ezzriba Village;213
411;Sidi El Heni Sud;126
412;Ouled Ali Bel Hani;126
413;Kroussia Ouest;126
414;Sidi El Heni Centre;126
415;Kroussia Centrale;126
416;Et-Teyaïra;186
417;Jammel Nord;186
418;Jammel Est;186
419;Jammel Ouest;186
420;Jammel Sud;186
421;Beni Hassen Nord;185
422;Beni Hassen Sud;185
423;El Amaiem Sud;214
424;El Amaiem Nord;214
425;Bir Magra;214
426;Telil Essalhi;214
427;Zéramdine Nord;187
428;Zéramdine Sud;187
429;El Hdadra;186
430;Bir Taïeb;186
431;Menzel Kamel;186
432;Ennahli;160
433;Bou Hannech;160
434;Pont de Bizerte;160
435;El Hessiane;160
436;Kallat El Andalous Est;160
437;Kalaat El Andalous Ouest;160
438;Mezaougha;187
439;Melichet;187
440;Menzel Hayet;187
441;Menzel Farsi;181
442;Ouled Ezzouabi;214
443;Oum El Abouab;214
444;Eddroua;214
445;Cherahil;181
446;Amiret El Hojjaj;181
447;Amiret El Fehoul;181
448;Amiret Touazra;181
449;Amiret Touazra Sud;181
450;Saouaf Est;218
451;EL Jnaïha;185
452;Ghnada;185
453;Hatem;185
454;El Hamira;218
455;Borj Touil;161
456;Sidi Bou Khtiwa;161
457;El Medina El Fadhla;161
458;Nkhilet;161
459;El Ghazela;161
460;Raoued;161
461;Jaafar;161
462;Soukra;33
463;Chotrana;33
464;El Bassatine;33
465;Dar Fadhal;33
466;Ettaamir;33
467;Ennassim;33
468;Borj Louzir;33
469;Ariana Supérieure;162
470;Ennasr 2;162
471;Nasr 1;162
472;El Menzah 5;162
473;El Menzah 6;162
474;Ettaamir I;162
475;Ariana Ville;162
476;El Yasmina;162
477;Ariana El Jadida;162
478;15-oct;32
479;El Bassatine;32
480;El Mnihla;32
481;Errafaha;32
482;Ennasr;32
483;Kheireddine Pacha;31
484;20-mars;31
485;Mongi Slim;31
486;07-nov;31
487;18-janv;31
488;09-avr;31
489;Cité Ettadhamen;31
490;Ibn Khaldoun;31
491;Abou El Kacem Echebbi;31
492;Mongi Slim;34
493;Bejaoua;34
494;Cebalet Ben Ammar;34
495;Sidi Thabet;34
496;Chorfech;34
497;Sidi Bou Said;29
498;Amilcar;29
499;Carthage Byrsa;29
500;Mohammed_Ali;29
501;Le Jasmin;29
502;Carthage Plage;29
503;Saouaf Ouest;218
504;Borj Chakir;12
505;Attar;12
506;14-janv;12
507;El Jaiara;12
508;La Goulette Casino;27
509;Kheredine;27
510;Cité Essalema;27
511;Taieb Mhiri;27
512;La Goulette;27
513;Bardo;10
514;Bardo Nord;10
515;El Bassatine;10
516;Khaznadar;10
517;Essaada;10
518;El Fath;10
519;Bardo Sud;10
520;El Hadika;10
521;Bonne Résidence;10
522;Bouchoucha;10
523;Ksar-Said;10
524;Ksar El Bortal;10
525;Ksar-Said 2;10
526;Ibn Sina;10
527;Zarzouna Nord;145
528;Zarzouna Sud;145
529;Jarzouna Ouest;145
530;Boubaker Bakir;146
531;Hassen Nouri;146
532;El Mootamar;146
533;El Medina;146
534;Cheikh Dris;146
535;Bab Mateur;144
536;15-oct;146
537;Habib Hadded;146
538;El Hana;146
539;Jarzouna Est;145
540;El Massida;144
541;Sidi Ameur;144
542;Teskraya;144
543;Louata;144
544;Sidi Ahmed;144
545;Hicher;144
546;Marnissa;144
547;Ain Mariem;146
548;Farhat Hached;144
549;El Korniche;146
550;Menzel Abderrahmane Est;149
551;Menzel Abderrahmane Ouest;149
552;El Azib;149
553;Menjel Djemil Ouest;149
554;Menzel Jemil Est;149
555;Sdiret Sud;1
556;El Garia;147
557;اOuest_Metline;147
558;Metline;147
559;Sdiret Nord;1
560;Oued Ech-Cheikh;1
561;Ras Jebel Sud;147
562;Ras Jebel Nord;147
563;Rafraf;147
564;Sounine;147
565;Ghar El Melh;150
566;Bajou;150
567;Bir Ali Ben Khalifa;1
568;Ouadrane Nord;1
569;El Gandoul;1
570;Ouadrane Sud;1
571;El Khetmine;148
572;El Alia Sud;148
573;El Alia Nord;148
574;Sidi Ali Chabeb;148
575;El Mdina;139
576;Chelagmia;139
577;Cité Jardins;139
578;Cité Ethawra;139
579;En Najah 2;139
580;En Najah 2;139
581;Gabtna 2;139
582;Gabtna 1;139
583;Secteur1;138
584;Guengla;138
585;Tinja;138
586;Bir Chaouch;215
587;Ain El Batthoum;215
588;Saouar;215
589;Sougas;215
590;En Nadhour;215
591;Deghafla Est;218
592;Deghafla Ouest;218
593;Zouaouine;150
594;Ousja;150
595;Amaden;143
596;El Ababsa;143
597;El Hchachna;143
598;El Maalia;143
599;Sehabna;143
600;Mcherga;143
601;Sejnane;143
602;Sidi Mechreg;143
603;El Mabtouh;137
604;Bach Hanba;137
605;Utique;137
606;El Houidh;137
607;Besbassia;137
608;Ain Ghilel;137
609;Sidi Othman;137
610;Nouvelle Utique;137
611;Mateur;141
612;Cité Essadaka;141
613;Mateur Sud;141
614;Boumkhila;141
615;Behaya;141
616;Targuellache;141
617;Nefat;141
618;Arab Majour;141
619;Cité Ennasr;141
620;Banlieue de Mateur;141
621;Ghzala;140
622;El Arab;140
623;Sidi Aissa;140
624;Rakb;140
625;Dhouaouda;140
626;Hached;140
627;Sidi Mansour;140
628;Secteur2;140
629;Ouled El May;140
630;Kef Ghrab;142
631;Tahent;142
632;Berraies;142
633;Essman;142
634;Rouaha;142
635;Chnena;142
636;Ouled Ghanem;142
637;Touajnia;142
638;Bazina;142
639;El Abraj;1
640;Bou Slim;1
641;Sidi Ali Belabed;1
642;Sidi Dhaher;1
643;‫‪Ennadhour‬‬;1
644;Bouarrada;171
645;Henchir Erromman;171
646;Sidi Abdennour;171
647;Tarf Ech Chenna;171
648;Banlieue Bouarada;171
649;Fatis;171
650;Ezzmil;163
651;El Aroussa;163
652;Mousrata;163
653;Sidi Ayed;163
654;Boujlida;163
655;Bargou;164
656;El Behiri;164
657;Ain Boussaadia;164
658;Ed Derija;164
659;Sidi Said;164
660;Ain Fourna;164
661;Banlieue Bargo;164
662;Ouled Fraj;164
663;Kalâat Khasbat;49
664;Nadhour-En;49
665;Sidi Ahmed Essalah;49
666;Hentaïa;49
667;Es Sfina;172
668;El Kabel;172
669;Ouled Znag;172
670;Sidi Morched;172
671;Sidi Hmada;172
672;Kesra;165
673;El Hammam;165
674;Bou Abdallah;165
675;El Mansoura Nord;165
676;El Mansoura Sud;165
677;El Karia Nord;165
678;El Foughoul;165
679;El Karia Sud;165
680;Ellouza;165
681;El Hbabsa Sud;166
682;El Hbabsa Nord;166
683;Bou Ajila;166
684;El Jamilet;166
685;El Msahla;166
686;Esmirat Sud;166
687;Essmirat Nord;166
688;Errouhia;166
689;El Haria;166
690;El Hmaima;166
691;Beni Hazem;167
692;Ras El Oued;167
693;Soualem;167
694;Sayar;167
695;Makther Sud;167
696;Makther Nord;167
697;El Garaa;167
698;Chouarnia;167
699;Send El Haddad;167
700;Bez;167
701;Saddine;167
702;Bechka;3
703;El Hadj Kacem;3
704;Telil El Ajla;3
705;Bou-Thadi;3
706;Menzel Chaker;3
707;Chaleb;3
708;El Bokâa El Bidha;3
709;Bir Mellouli;3
710;Jemma;173
711;Marj Mohaddem;172
712;El Khalsa;173
713;Ain Eddissa;173
714;Sidi Mansour;172
715;Massouj;173
716;Siliana Sud;172
717;Siliana Nord;173
718;Siliana Ville;173
719;El Jouii;173
720;Sejja;172
721;El Arab;173
722;Ettricha;168
723;Bourouis Sud;168
724;Bourous Nord;168
725;El Abbassi;168
726;Ain Achour;168
727;El Krib Gare;168
728;Ain Ezrig;170
729;El Ahouaz Nord;170
730;El Ahouaz Sud;170
731;Al Akhwat;170
732;Al Aksab;170
733;Gaafour Ouest;170
734;Gaafour Est;170
735;El Achech;3
736;El Aouadhna;3
737;Bou Jarboue;3
738;‫‪Majel‬‬ ‫‪Edarj‬‬;3
739;El Krib Sud;169
740;Borj El Masaoudia Nord;169
741;Borj El Masaoudia Sud;169
742;Dokhania;169
743;El Krib Nord;169
744;Hammam Biadha Sud;169
745;Hammam Biadha Nord;169
746;Raihane;39
747;El Hamdia;39
748;Melloula;39
749;Tabarka;39
750;Ain Essobh;39
751;Ain Esnoussi;39
752;Nadhour;39
753;El Hammem;39
754;Ain Draham;38
755;El Homrane;38
756;Ain Salama;38
757;Ouled Sedra;38
758;Oued Ezzan;38
759;Etbaynia;38
760;El Atatfa;38
761;Ain Draham Banlieue;38
762;Khmeyria;38
763;Errouii;38
764;Tegma;38
765;Selloul;38
766;Merkez Mosbah;4
767;El Hencha;4
768;Bir Salah;4
769;Sidi Hassan Belhaj;4
770;El Hajjara;4
771;Bir Chaaba;4
772;Jouaouda;4
773;Dokhane;4
774;Ennasr;4
775;El Houdh;5
776;Djebeniana;5
777;El Kalelja;5
778;Baltech;5
779;El Ajengna;5
780;Batria;5
781;El Louza;5
782;Hazeg;5
783;El Hamaïma;48
784;Safsaf;48
785;El Falta;48
786;El Mahjouba;48
787;Bou Jabeur;48
788;Sed El Khir;48
789;Aïn Snan;48
790;Kalâat Snan;48
791;Mzita;48
792;Oued Ezzebib;64
793;El Groa;64
794;Mellita;62
795;Bou Melel;62
796;Taourit;62
797;Fatou;62
798;Mazraia;62
799;Midoun;63
800;Sedouikech;63
801;Guellala;64
802;El Jouamaa;62
803;El Hachene;62
804;El May;63
805;El Mahboubine;63
806;Sedghaiane;62
807;Essouani;62
808;Oualeg;62
809;Erriadh;62
810;Arkou;63
811;El Khenensa;64
812;Mezrene;64
813;Ajim;64
814;Gloub Ethirane;37
815;Gloub Ethirane Nord;37
816;Jouaouda;37
817;Ouled Mefada;37
818;Halima;37
819;El Adhar;37
820;Hedhil;37
821;Ain El Baya;37
822;Fernana;37
823;Sidi Ammar;37
824;Rabiaa;37
825;Oued Ghrib;37
826;Robbana;63
827;Beni Maaguel;63
828;Bou Hertma;37
829;El Gouaidia;37
830;Bni Mtir;37
831;Somrane;40
832;Balta;40
833;Bou Aouane;40
834;Abdeljabeur;40
835;Oued Kasseb;40
836;Ben Mhammed;40
837;El Aouaoudha;40
838;Chouaoula;40
839;El Baldia;40
840;Ghezala;40
841;Boulaaba;40
842;Sidi El Heni Ouest;126
843;El Galaa;35
844;El Maaden;35
845;Forgassen;35
846;Faj Hassine;35
847;Ghardimaou Nord;35
848;Ghardimaou;35
849;Eddaoura;35
850;Errakha;35
851;Mrassen;35
852;Ain Soltane;35
853;Es Sraya;35
854;Ouechtata;35
855;Hakim Nord;36
856;Hakim Sud;36
857;Oued Mliz Est;36
858;Oued Mliz Ouest;36
859;Dkhaylia;36
860;Ezzouhour;42
861;Bulla Regia;42
862;El Ferdous;42
863;Zatfour;42
864;Essouani;42
865;Chemtou;42
866;Souk Djemaa;42
867;Eddir;42
868;Ennour;43
869;Jendouba Sud;43
870;Ezzghaida;43
871;El Hedi Ben Hassine;42
872;Ezzitouna;53
873;El Ksour;53
874;Louata;53
875;Banou;53
876;Aïn El Ksiba;53
877;Aïn Fedhil;53
878;Ebba;52
879;Dahmani Nord;52
880;Dahmani;52
881;Zouarine;52
882;El Medeïna;52
883;Thermda;52
884;Sidi Baraket Sud;52
885;Sidi Baraket Nord;52
886;Abida;52
887;Borj Eddiouana;51
888;Aïn El Abar;51
889;Menzel Salem;51
890;Djerissa Sud;50
891;Djerissa Nord;50
892;Djerissa Centre;50
893;Enneayem;50
894;Besseriana;50
895;Fej Ettameur;50
896;El Labba;66
897;Zarzis;68
898;20-mars;68
899;Souitir;66
900;Mednine Sud;66
901;Mednine Est;66
902;Hessi Amor;66
903;Er Ragouba Ouest;70
904;Essayah;67
905;20-mars;65
906;Er Ragouba Est;70
907;Oum Ettameur Est;65
908;Koutine;65
909;Ben Guerdane Nord;67
910;Ben Guerdane Sud;67
911;Jamila;67
912;Chahbania;67
913;El Maamerat;67
914;Mednine Nord;65
915;El Amria;67
916;Essouihel;68
917;El Behira;69
918;Oued Ettieb;68
919;Hassi El Jerbi;68
920;El Ogla;68
921;02-mai;65
922;Ouarjijene;69
923;Amra;70
924;Oum Ettameur Ouest;65
925;El Grebis;68
926;Beni-Khedech;69
927;El Maghzaouia;70
928;Chammakh;68
929;Eddekhila;69
930;Khaoui El Ghedir;68
931;Hamadi;68
932;Oued Esseder;66
933;Hessi Mednine;66
934;Ksar El Jedid;69
935;Tahar Sfar;68
936;Sidi Makhlouf;70
937;Ourasnia;67
938;El Grine;70
939;Chareb Errajel;67
940;Ettabai;67
941;Hamadi Boutoufaha;68
942;Nouvelle Amra;66
943;Boughrara;66
944;Jallel;67
945;Neffatia;67
946;Hichem E L Hamadi;68
947;El Ghorabet;68
948;El Bassatine;68
949;El Hamaima;69
950;Darjaoua;70
951;Oued El Khil;69
952;El Menzela;69
953;Ejdaria;68
954;Zammour;69
955;Beni Ghezail;65
956;Mednine Ouest;65
957;Zghaya;69
958;El Benaina;69
959;El Ghabai;70
960;Rahala;69
961;El Gosba;70
962;El Fejij;69
963;El Jourf;70
964;Darghoulia;66
965;Bedoui;70
966;El Ghordhab;76
967;EZZOUHOUR;76
968;EL OUAHA;76
969;GHOMRASSEN;76
970;EN-NASR;71
971;Beni Mehira Est;73
972;Ksar Mehira;73
973;Ksar Aoun;73
974;El Morra;73
975;ERRAHECH;73
976;Nouvelle Chnini;77
977;KHETMA;71
978;GATTOUFA;71
979;EZZAHRA;71
980;El Bassatine;75
981;El Médina;75
982;GRAGER;75
983;EL ARGOUB;75
984;SENED;75
985;BENI BELAL;71
986;EL GALAA OUEST;71
987;Bir Lahmar Ouest;75
988;EL GALAA EST;71
989;Bir Lahmar Est;75
990;ESSAADA;71
991;Ksar El Haddada;76
992;Guermassa;76
993;EL FERCH;76
994;OUED EL GEMAH;71
995;KENBOUT;74
996;EL MAZTOURIA NORD;77
997;NEKRIF;74
998;EL MAZTOURIA SUD;77
999;Remada Ouest;74
1000;TATAOUINE SUPERIEURE;77
1001;REMADA EST;74
1002;TATAOUINE VILLE;77
1003;Oued El Khil;76
1004;KSAR EL MOURABITINE;76
1005;Nouvelle Médina;76
1006;BENI BARKA-TOUNKET;77
1007;BIR THALATHINE;77
1008;El Mouna;71
1009;OUED EL GHAR;71
1010;Kerchaou;73
1011;TELELT;71
1012;BEROURMET;71
1013;ETTADHAMEN;71
1014;Dhehbia Ouest;72
1015;EN-NOZHA;71
1016;Dhehbia Est;72
1017;KSAR EL MOUKABALA;77
1018;El Ghariani;73
1019;MEGHANI;74
1020;Smar;73
1021;Borj El Khadhra;74
1022;Bir Amir;74
1023;CITE EL BARR;77
1024;RAS EL OUEDI;77
1025;ERROGHBA;77
1026;EL MESREB;77
1027;Edouiret;77
1028;GHARGHAR;77
1029;Chenini;77
1030;El Azima;43
1031;El Malga;43
1032;Souk Essebt;43
1033;El Aitha;43
1034;Ain Karima;43
1035;Ettataouer;43
1036;Malla;43
1037;Essaada;43
1038;El Jerif;43
1039;El Brahmi;41
1040;Bir Lakhdher;41
1041;El Marja;41
1042;Sidi Abid;41
1043;El Koudia;41
1044;El Mangouche;41
1045;Erroumani;41
1046;Bou Salem;41
1047;Assila;40
1048;Bousalem Sud;41
1049;Latrach;99
1050;Secteur (4);91
1051;Secteur (3);91
1052;Secteur (2);91
1053;Secteur (1);91
1054;Menzel El Habib;98
1055;Chenini Ouest;97
1056;Chenini Est;97
1057;Chenini Nord;97
1058;Jaouaoula;97
1059;Nahal;97
1060;Bouchemma;97
1061;El Akarit;94
1062;El Fejij;98
1063;Oued Ezzitoun;98
1064;Secteur Est (2);95
1065;Secteur Est (1);95
1066;El Ksar;95
1067;Dekhilet Toujane;89
1068;Habib Thameur;95
1069;Beni Aissa;90
1070;Ez-Zeraoua;90
1071;Bou Attouch;95
1072;Bechima El Kalb;95
1073;Tamazrat;93
1074;Er-Remathi;97
1075;Techine;93
1076;Chott Sidi Abdesselam;91
1077;Matmata;93
1078;Ghanouche Nord;96
1079;Ghanouche Sud;96
1080;Ghanouch Ouest;96
1081;Ghanouch Est;96
1082;Secteur Ouest;95
1083;Beni Zalten;90
1084;Zoughrata;98
1085;Rabiaa Ouali;98
1086;Es-Saki;98
1087;El Mehemla;98
1088;Sidi Touati;89
1089;Mareth Nord;89
1090;Mareth;89
1091;Zerig El Ghandri;89
1092;El Amazir;92
1093;Zemarten;89
1094;Toujane;89
1095;Limaoua;92
1096;Ketana;89
1097;El Medou;92
1098;El Mida;94
1099;Arram;89
1100;Secteur (5);92
1101;Heddaj;90
1102;Secteur Nord;95
1103;Bechima El Borj;95
1104;Nouvelle Matmata;90
1105;El Behaier;95
1106;Chanchou;95
1107;Farhat Hached;95
1108;Secteur Sud;95
1109;Ain Tounine;89
1110;Ouedhref Nord;94
1111;Ayoun Ez-Zerkine;89
1112;Ez-Zerkine;89
1113;El Metouia Sud;94
1114;El Metouia Nord;94
1115;El Hicha;94
1116;El Alaya;89
1117;Zrig Eddakhlania;92
1118;Sidi Boulbaba;92
1119;Ezzarat;89
1120;Ourafinine;89
1121;Teboulbou;92
1122;Ouedhref Sud;94
1123;Oued El Khatef;81
1124;Tafeloun;82
1125;El Amra;6
1126;Bou Derbala;6
1127;Es Salam;6
1128;Dherra Beni Ziad;6
1129;El Mesatria;6
1130;Beliana;6
1131;El Aouabed;105
1132;Khazanet;105
1133;El Afrane Nord;105
1134;Bouzaiane;105
1135;Gremda;105
1136;El Ain;105
1137;El Houda;104
1138;Oued Er-Rmel;104
1139;El Alia;104
1140;Soukra;104
1141;Cite El Habib;104
1142;Merkez Chaker;104
1143;Ayoun El Mayel;105
1144;El Ons;107
1145;Sidi Salah;107
1146;Teniour;107
1147;Merkez El Pacha;109
1148;El Hajeb;108
1149;Merkez Kaddour;109
1150;Sidi Abid;108
